studentno,gpa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,count
2130301,1.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130302,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130303,2.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130304,1.68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130305,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130306,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130307,1.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130308,2.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130309,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130310,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130311,2.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130312,2.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130313,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130314,2.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130315,1.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130316,2.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130317,2.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130318,2.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130319,1.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130320,2.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130321,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130322,1.74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130323,2.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130324,1.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130325,2.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130326,2.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130327,2.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130328,2.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130329,1.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130330,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130331,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130332,2.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130333,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130334,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,17
2130335,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130336,2.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130337,2.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130338,2.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130339,1.95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130340,1.92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130341,1.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,15
2130342,1.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130343,2.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130344,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130345,2.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130346,2.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130347,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130348,1.57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130349,1.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130350,2.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130351,2.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130352,2.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130353,1.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,15
2130354,2.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130355,2.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130356,2.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130357,2.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130358,2.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130359,1.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130360,1.63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130361,2.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130362,1.76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130363,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130364,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130365,1.72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130366,2.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130367,2.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130368,2.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130369,2.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130370,2.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130371,2.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130372,2.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130373,1.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130374,1.81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130375,1.93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130376,1.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,15
2130377,1.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130378,2.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130379,2.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130380,2.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130381,1.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14
2130382,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130383,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130384,2.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130385,1.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130386,1.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130387,2.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130388,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130389,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130390,2.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
