studentno,gpa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,count
2130301,2.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130302,2.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130303,2.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130304,2.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130305,1.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2130306,2.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130307,2.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130308,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130309,2.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130310,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130311,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130312,2.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130313,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130314,1.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130315,2.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130316,2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130317,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130318,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130319,2.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2130320,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130321,2.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
